Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2014-06-25,1,5,-3,79,4
2014-06-26,2,5,-2,55,3
2014-06-27,2,5,-3,50,2
2014-06-28,-2,3,-5,17,2
2014-06-29,-1,3,-4,5,1
2014-06-30,3,5,-1,43,3
2014-07-01,1,5,-4,46,2
2014-07-02,1,5,-3,56,5
2014-07-03,-2,2,-5,41,3
2014-07-04,-2,2,-5,33,3
2014-07-05,1,5,-3,18,3
2014-07-06,-1,4,-5,6,2
2014-07-07,-2,3,-5,53,7
2014-07-08,-1,3,-5,70,6
2014-07-09,-2,3,-5,63,6
2014-07-10,-1,3,-5,68,6
2014-07-11,-1,4,-5,63,6
2014-07-12,-1,3,-5,27,5
2014-07-13,-2,2,-5,12,5
2014-07-14,1,4,-4,49,8
2014-07-15,1,5,-4,52,5
2014-07-16,-1,4,-4,188,10
2014-07-17,1,4,-4,60,3
2014-07-18,1,4,-4,46,2
2014-07-19,-1,4,-5,18,2
2014-07-20,2,5,-3,5,1
2014-07-21,1,5,-3,63,4
2014-07-22,2,5,-2,118,6
2014-07-23,2,5,-2,215,10
2014-07-24,1,4,-4,77,4
2014-07-25,-2,2,-5,65,3
2014-07-26,-1,3,-4,42,4
2014-07-27,1,5,-3,13,3
2014-07-28,1,5,-3,58,5
2014-07-29,1,4,-4,65,3
2014-07-30,-1,3,-5,34,1
2014-07-31,-1,4,-5,69,3
2014-08-01,-2,3,-5,44,2
2014-08-02,-2,3,-5,14,2
2014-08-03,0,0,0,0,0
2014-08-04,1,4,-4,22,2
2014-08-05,2,5,-2,73,4
2014-08-06,-2,2,-5,100,5
2014-08-07,-1,4,-4,42,2
2014-08-08,-2,3,-5,56,3
2014-08-09,-2,2,-5,32,3
2014-08-10,-2,2,-5,4,2
2014-08-11,-1,4,-4,25,2
2014-08-12,-1,3,-4,74,4
2014-08-13,1,4,-3,44,2
2014-08-14,1,4,-4,40,2
2014-08-15,1,4,-4,83,4
2014-08-16,-1,3,-3,22,3
2014-08-17,-2,2,-5,2,2
2014-08-18,2,5,-2,37,2
2014-08-19,3,5,-2,43,2
2014-08-20,1,5,-4,77,4
2014-08-21,-1,4,-4,46,2
2014-08-22,-1,4,-4,57,5
2014-08-23,1,4,-4,21,4
2014-08-24,-2,2,-5,16,4
